Culture Test ID,Culture Sample 1 Timestamp,Beach,Culture Sample 1 Reading,Culture Sample 2 Reading,Culture Reading Mean,Culture Note,Culture Sample Interval,Culture Sample 2 Timestamp,DNA Test ID,DNA Sample Timestamp,DNA Sample 1 Reading,DNA Sample 2 Reading,DNA Reading Mean
113071,06/24/2016 09:00:00 AM,Leone,102.0,88.0,94.7,,1,06/24/2016 09:01:00 AM,,,,,
113066,06/24/2016 05:53:00 AM,Montrose Dog,21.0,20.0,20.5,,1,06/24/2016 05:54:00 AM,,,,,
113063,06/24/2016 07:06:00 AM,Ohio Street,61.0,47.0,53.5,,2,06/24/2016 07:08:00 AM,889,06/24/2016 11:43:00 AM,79.0,25.0,44.4
113060,06/24/2016 07:45:00 AM,Oakwood,12.0,11.0,11.5,,5,06/24/2016 07:50:00 AM,,,,,
113068,06/24/2016 08:15:00 AM,Foster,16.0,15.0,15.5,,1,06/24/2016 08:16:00 AM,,,,,
113074,06/24/2016 09:20:00 AM,Rogers,50.0,58.0,53.9,,1,06/24/2016 09:21:00 AM,,,,,
113055,06/24/2016 06:30:00 AM,Calumet,190.0,172.0,180.8,,5,06/24/2016 06:35:00 AM,887,06/24/2016 11:42:00 AM,104.0,167.0,131.8
113056,06/24/2016 06:45:00 AM,Rainbow,816.0,328.0,517.3,,5,06/24/2016 06:50:00 AM,946,06/24/2016 11:43:00 AM,469.0,403.0,434.7
113073,06/24/2016 09:25:00 AM,Howard,62.0,50.0,55.7,,1,06/24/2016 09:26:00 AM,,,,,
113076,06/25/2016 10:15:00 AM,Rainbow,8.0,3.0,4.9,,5,06/25/2016 10:20:00 AM,966,06/25/2016 12:43:00 PM,62.0,25.0,39.4
112670,08/20/2015 12:00:00 AM,Rainbow,9.0,62.0,23.6,,5,08/20/2015 12:05:00 AM,69,08/20/2015 12:00:00 AM,426.1,177.9,275.0
113083,06/27/2016 10:25:00 AM,Margaret T Burroughs,22.0,28.0,24.8,,5,06/27/2016 10:30:00 AM,,,,,
113097,06/27/2016 11:30:00 AM,Juneway,1.0,1.0,1.0,,1,06/27/2016 11:31:00 AM,,,,,
113087,06/27/2016 12:30:00 AM,North Avenue,23.0,18.0,20.3,,1,06/27/2016 12:31:00 AM,,,,,
113077,06/27/2016 09:05:00 AM,Calumet,4.0,8.0,5.7,,5,06/27/2016 09:10:00 AM,,,,,
113084,06/27/2016 10:35:00 AM,12th Street,10.0,6.0,7.7,,5,06/27/2016 10:40:00 AM,,,,,
113081,06/27/2016 10:00:00 AM,57th Street,6.0,4.0,4.9,,5,06/27/2016 10:05:00 AM,,,,,
113086,06/27/2016 12:20:00 AM,Oak Street,6.0,7.0,6.5,,1,06/27/2016 12:21:00 AM,,,,,
113085,06/27/2016 12:05:00 AM,Ohio Street,6.0,4.0,4.9,,1,06/27/2016 12:06:00 AM,,,,,
113094,06/27/2016 11:15:00 AM,Fargo,6.0,6.0,6.0,,1,06/27/2016 11:16:00 AM,,,,,
113088,06/27/2016 09:45:00 AM,Montrose Dog,47.0,72.0,58.2,,1,06/27/2016 09:46:00 AM,,,,,
113096,06/27/2016 11:35:00 AM,Rogers,4.0,3.0,3.5,,1,06/27/2016 11:36:00 AM,,,,,
113091,06/27/2016 10:25:00 AM,Osterman,2.0,2.0,2.0,,1,06/27/2016 10:26:00 AM,,,,,
113329,07/13/2016 09:50:00 AM,Fargo,6.0,2.0,3.5,,1,07/13/2016 09:51:00 AM,,,,,
113089,06/27/2016 09:50:00 AM,Montrose,55.0,51.0,53.0,,1,06/27/2016 09:51:00 AM,,,,,
113079,06/27/2016 09:35:00 AM,South Shore,5.0,7.0,5.9,,5,06/27/2016 09:40:00 AM,,,,,
113095,06/27/2016 11:40:00 AM,Howard,1.0,1.0,1.0,,1,06/27/2016 11:41:00 AM,,,,,
113082,06/27/2016 10:15:00 AM,Oakwood,2.0,2.0,2.0,,5,06/27/2016 10:20:00 AM,,,,,
